City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,uray,60.1247,64.7758,13.82,73,100,4.47,RU,1695099990
299,tevriz,57.509,72.4042,18.25,56,75,2.17,RU,1695099990
300,lobujya,27.95,86.8167,3.31,80,74,2.04,NP,1695099990
301,worland,44.0169,-107.9554,19.94,41,20,2.57,US,1695099990
302,puerto quijarro,-17.7833,-57.7667,26.8,51,14,1.06,BO,1695099990
303,letlhakane,-21.4167,25.5833,17.49,68,43,5.6,BW,1695099991
304,vallenar,-28.5708,-70.7581,15.96,58,2,0.63,CL,1695099991
305,bani walid,31.7566,13.9942,21.47,67,38,1.23,LY,1695099991
306,kaoma,-14.7833,24.8,18.07,39,48,3.12,ZM,1695099991
307,queenstown,-31.8976,26.8753,10.68,46,0,0.58,ZA,1695099992
308,vydrino,51.485,104.8461,13.02,65,77,1.34,RU,1695099992
309,weno,7.4515,151.8468,29.97,84,100,2.57,FM,1695099992
310,ta`u,-14.2336,-169.5144,26.27,77,82,12.79,AS,1695099992
311,songyuan,45.1171,124.8568,14.32,78,96,6.21,CN,1695099924
312,malpica,43.3228,-8.8105,15.21,72,60,2.47,ES,1695099993
313,howrah,22.5892,88.3103,30.0,84,75,4.63,IN,1695099993
314,portland,45.5234,-122.6762,15.99,60,0,2.06,US,1695099699
315,nemuro,43.3236,145.575,17.53,96,100,4.09,JP,1695099993
316,qaisumah,28.3112,46.1273,28.98,20,0,0.0,SA,1695099994
317,kayangel,8.0823,134.7173,28.38,75,63,1.46,PW,1695099994
318,kerikeri,-35.2268,173.9474,17.13,65,0,1.54,NZ,1695099994
319,nyurba,63.2842,118.3319,7.82,43,34,3.91,RU,1695099994
320,la marina de port,41.3603,2.1376,23.95,76,0,2.57,ES,1695099994
321,bandar-e anzali,37.4727,49.4622,18.06,87,100,5.02,IR,1695099995
322,longboat key,27.4125,-82.659,26.68,59,0,3.09,US,1695099696
323,alpena,45.0617,-83.4327,9.14,99,0,2.06,US,1695099915
324,horta,38.5333,-28.6333,21.68,75,100,6.26,PT,1695099995
325,kapa'a,22.0752,-159.319,26.17,68,96,2.24,US,1695099733
326,laramie,41.3114,-105.5911,15.3,50,0,5.14,US,1695099815
327,tazacorte,28.629,-17.9293,21.54,77,100,5.14,ES,1695099996
328,falam,22.9167,93.6833,19.28,94,100,1.04,MM,1695099996
329,igarka,67.4667,86.5833,4.94,73,100,5.13,RU,1695099996
330,olyokminsk,60.3736,120.4264,7.29,39,8,2.09,RU,1695099997
331,pandan,14.0453,124.1694,29.53,75,70,2.17,PH,1695099997
332,qaqortoq,60.7167,-46.0333,3.23,60,78,1.72,GL,1695099997
333,lucapa,-8.4192,20.7447,19.07,88,89,0.68,AO,1695099997
334,hammerfest,70.6634,23.6821,4.25,60,75,4.63,NO,1695099997
335,sour el ghozlane,36.1477,3.6912,21.93,40,79,0.48,DZ,1695099998
336,gustavia,17.8962,-62.8498,28.95,77,0,1.79,BL,1695099164
337,baharly,38.4362,57.4316,23.02,33,29,4.52,TM,1695099998
